"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
49,4,0.01,0.03,0.13,0.24,0.37,2
50,4,0.03,0.08,0.13,0.27,0.51,1
51,4,0.02,0.05,0.18,0.29,0.46,1
52,2,0.19,0.3,0.33,0.55,0.69,1
53,5,0,0.02,0.05,0.11,0.26,1
54,1,0.31,0.39,0.56,0.76,0.86,1
55,3,0.11,0.15,0.24,0.46,0.64,1
56,4,0.03,0.05,0.15,0.36,0.51,1
57,4,0.02,0.06,0.18,0.27,0.4,1
58,2,0.15,0.32,0.43,0.66,0.79,1
59,3,0.05,0.11,0.24,0.44,0.61,1
60,1,0.25,0.37,0.54,0.62,0.83,1
61,1,0.37,0.61,0.73,0.84,0.92,2
62,4,0.05,0.12,0.21,0.25,0.5,1
63,3,0.05,0.15,0.36,0.44,0.62,1
64,1,0.3,0.42,0.71,0.87,0.92,1
65,5,0.02,0.03,0.07,0.16,0.36,1
66,5,0,0.01,0.03,0.08,0.23,1
67,1,0.3,0.48,0.57,0.69,0.8,1
68,3,0.06,0.13,0.33,0.46,0.67,1
69,1,0.33,0.47,0.59,0.75,0.85,1
70,4,0.07,0.11,0.13,0.26,0.39,1
71,2,0.18,0.36,0.49,0.71,0.82,2
72,1,0.37,0.52,0.76,0.82,0.9,1
73,4,0.01,0.04,0.09,0.27,0.38,1
74,2,0.17,0.35,0.45,0.68,0.82,1
75,1,0.25,0.35,0.5,0.57,0.73,1
76,2,0.12,0.31,0.44,0.64,0.77,1
77,3,0.07,0.11,0.23,0.42,0.63,1
78,5,0.01,0.04,0.11,0.16,0.32,1
79,5,0.01,0.02,0.05,0.11,0.25,1
80,5,0.02,0.05,0.09,0.16,0.29,1
81,2,0.14,0.3,0.51,0.62,0.75,1
82,5,0.02,0.05,0.07,0.2,0.36,1
83,4,0.02,0.03,0.11,0.36,0.54,1
84,1,0.3,0.47,0.67,0.76,0.85,1
85,1,0.25,0.38,0.51,0.59,0.73,1
86,4,0.03,0.07,0.21,0.34,0.49,1
87,1,0.35,0.47,0.6,0.7,0.88,1
88,1,0.24,0.39,0.55,0.64,0.73,1
89,4,0.04,0.11,0.2,0.36,0.61,1
90,5,0.01,0.03,0.07,0.16,0.36,1
91,2,0.11,0.33,0.45,0.63,0.78,1
92,3,0.05,0.14,0.3,0.51,0.6,1
93,4,0.03,0.1,0.19,0.34,0.5,1
94,5,0.02,0.07,0.12,0.23,0.35,1
95,4,0.02,0.06,0.11,0.31,0.44,1
96,4,0.02,0.04,0.11,0.27,0.36,1
97,1,0.28,0.48,0.6,0.68,0.79,1
98,5,0.03,0.07,0.14,0.21,0.33,1
99,4,0.03,0.07,0.13,0.35,0.47,1
100,1,0.32,0.42,0.6,0.76,0.87,1
101,2,0.1,0.3,0.41,0.64,0.75,2
102,5,0.01,0.02,0.05,0.1,0.24,1
103,3,0.06,0.15,0.33,0.44,0.55,1
104,2,0.13,0.32,0.48,0.71,0.82,1
105,5,0.03,0.06,0.12,0.23,0.36,1
106,3,0.07,0.17,0.29,0.52,0.67,1
107,4,0.02,0.06,0.13,0.31,0.49,1
108,2,0.11,0.3,0.42,0.57,0.78,1
109,5,0.01,0.02,0.06,0.15,0.31,1
110,3,0.04,0.17,0.32,0.57,0.69,1
111,3,0.07,0.13,0.3,0.43,0.56,1
112,1,0.33,0.48,0.6,0.78,0.87,1
113,3,0.08,0.18,0.3,0.42,0.74,1
114,1,0.28,0.45,0.62,0.82,0.89,1
115,1,0.3,0.44,0.56,0.76,0.89,1
116,5,0.01,0.02,0.03,0.07,0.23,1
117,4,0.04,0.11,0.19,0.36,0.45,1
118,4,0.01,0.05,0.15,0.27,0.42,1
119,3,0.07,0.17,0.36,0.51,0.63,1
120,4,0.03,0.05,0.17,0.33,0.5,1
121,1,0.24,0.42,0.55,0.67,0.78,1
122,1,0.27,0.42,0.61,0.73,0.81,1
123,5,0.01,0.04,0.09,0.19,0.3,1
124,5,0.01,0.04,0.11,0.19,0.36,1
125,4,0.01,0.04,0.1,0.27,0.39,1
126,3,0.12,0.2,0.36,0.48,0.59,1
127,3,0.04,0.11,0.28,0.51,0.6,1
128,4,0.03,0.07,0.18,0.32,0.43,1
129,2,0.17,0.32,0.39,0.55,0.63,1
130,1,0.25,0.44,0.63,0.76,0.88,1
131,3,0.09,0.22,0.37,0.64,0.75,1
132,5,0.02,0.04,0.09,0.15,0.34,1
133,5,0.01,0.04,0.12,0.21,0.37,1
134,2,0.15,0.29,0.53,0.58,0.62,1
135,5,0.01,0.02,0.05,0.14,0.28,3
136,4,0.02,0.05,0.12,0.27,0.4,1
137,5,0.03,0.04,0.08,0.15,0.33,2
138,3,0.07,0.15,0.27,0.43,0.55,1
139,3,0.05,0.12,0.28,0.5,0.65,1
140,3,0.12,0.17,0.28,0.44,0.65,1
141,1,0.37,0.42,0.59,0.75,0.85,1
142,1,0.31,0.49,0.66,0.77,0.86,1
143,5,0.01,0.03,0.09,0.12,0.28,1
144,2,0.13,0.28,0.41,0.56,0.75,1
145,1,0.36,0.5,0.72,0.83,0.91,1
146,2,0.11,0.25,0.36,0.49,0.66,1
147,3,0.05,0.13,0.25,0.45,0.67,1
148,2,0.18,0.32,0.5,0.66,0.81,1
149,3,0.05,0.17,0.29,0.49,0.63,1
150,4,0.08,0.13,0.22,0.29,0.4,1
151,4,0.05,0.11,0.26,0.32,0.44,1
152,5,0.01,0.02,0.05,0.14,0.34,1
153,2,0.13,0.29,0.46,0.55,0.7,1
154,5,0.01,0.04,0.08,0.16,0.3,1
155,3,0.12,0.25,0.33,0.49,0.71,1
156,2,0.16,0.26,0.39,0.58,0.72,2
157,1,0.25,0.36,0.46,0.62,0.74,1
158,5,0,0.01,0.06,0.17,0.23,1
159,1,0.32,0.52,0.63,0.7,0.85,1
160,2,0.18,0.34,0.55,0.71,0.84,1
161,1,0.31,0.47,0.65,0.82,0.89,1
162,2,0.15,0.31,0.39,0.48,0.62,1
163,2,0.11,0.29,0.59,0.74,0.89,1
164,1,0.31,0.49,0.64,0.78,0.9,1
165,2,0.15,0.31,0.54,0.64,0.74,1
166,4,0.09,0.12,0.2,0.36,0.5,1
167,3,0.03,0.13,0.23,0.38,0.5,1
168,2,0.14,0.27,0.34,0.56,0.75,3
169,1,0.27,0.43,0.61,0.82,0.89,1
170,3,0.02,0.07,0.23,0.44,0.64,1
171,5,0.01,0.03,0.09,0.24,0.32,1
172,1,0.31,0.4,0.55,0.73,0.82,1
173,3,0.05,0.17,0.32,0.43,0.56,1
174,1,0.37,0.6,0.8,0.87,0.92,1
175,1,0.33,0.49,0.65,0.76,0.86,1
176,2,0.17,0.34,0.46,0.57,0.69,2
177,5,0.01,0.02,0.04,0.13,0.28,2
178,4,0.03,0.07,0.14,0.28,0.41,1
179,3,0.07,0.18,0.29,0.47,0.63,1
180,5,0.03,0.06,0.1,0.25,0.34,2
181,4,0.03,0.07,0.19,0.27,0.39,1
182,2,0.08,0.3,0.53,0.7,0.84,1
183,2,0.24,0.33,0.55,0.72,0.87,1
184,1,0.26,0.36,0.57,0.79,0.85,1
185,1,0.35,0.56,0.64,0.81,0.9,1
186,2,0.15,0.28,0.46,0.57,0.66,1
187,1,0.32,0.55,0.69,0.79,0.88,1
188,3,0.03,0.1,0.31,0.41,0.58,1
189,2,0.2,0.35,0.49,0.67,0.8,1
190,2,0.2,0.36,0.44,0.62,0.8,1
191,5,0.01,0.02,0.04,0.14,0.27,1
192,2,0.07,0.27,0.41,0.58,0.75,1
193,2,0.25,0.29,0.45,0.56,0.7,1
194,4,0.02,0.04,0.09,0.26,0.46,1
195,3,0.11,0.18,0.36,0.53,0.63,1
196,4,0.03,0.06,0.19,0.33,0.44,1
197,3,0.04,0.11,0.31,0.45,0.59,1
198,3,0.08,0.15,0.33,0.49,0.72,1
199,5,0.02,0.04,0.06,0.2,0.36,1
200,3,0.06,0.13,0.28,0.37,0.43,1
201,3,0.07,0.18,0.34,0.51,0.64,1
202,2,0.17,0.31,0.46,0.69,0.82,1
203,3,0.06,0.11,0.32,0.51,0.58,1
204,2,0.14,0.31,0.36,0.41,0.52,1
205,1,0.34,0.57,0.66,0.8,0.9,1
206,1,0.34,0.51,0.66,0.77,0.87,1
207,2,0.12,0.26,0.39,0.63,0.82,2
208,5,0.01,0.03,0.09,0.2,0.37,1
209,3,0.05,0.14,0.28,0.4,0.57,1
210,3,0.12,0.2,0.36,0.54,0.68,1
211,3,0.05,0.14,0.28,0.49,0.66,2
212,2,0.2,0.33,0.55,0.72,0.82,1
213,5,0.03,0.07,0.11,0.16,0.33,1
214,5,0,0.02,0.04,0.14,0.27,1
215,2,0.12,0.25,0.4,0.56,0.64,1
216,1,0.31,0.52,0.75,0.81,0.89,1
217,2,0.08,0.31,0.46,0.62,0.82,2
218,2,0.16,0.28,0.37,0.6,0.75,1
219,1,0.26,0.4,0.58,0.63,0.8,1
220,1,0.36,0.43,0.59,0.82,0.89,1
221,5,0.01,0.02,0.05,0.1,0.26,1
222,1,0.36,0.49,0.65,0.82,0.86,1
223,2,0.22,0.33,0.58,0.77,0.87,1
224,4,0.04,0.08,0.2,0.36,0.5,2
225,3,0.16,0.2,0.32,0.58,0.7,1
226,4,0.03,0.05,0.13,0.35,0.47,1
227,4,0.02,0.04,0.14,0.27,0.42,2
228,5,0.01,0.02,0.05,0.1,0.31,1
229,3,0.11,0.17,0.36,0.56,0.74,1
230,3,0.04,0.12,0.32,0.46,0.6,2
231,3,0.07,0.15,0.28,0.38,0.58,1
232,5,0.01,0.03,0.06,0.13,0.25,1
233,3,0.11,0.23,0.35,0.52,0.7,1
234,5,0.01,0.02,0.05,0.15,0.3,1
235,5,0.02,0.05,0.1,0.18,0.36,1
236,5,0.01,0.02,0.05,0.14,0.33,1
237,1,0.35,0.57,0.69,0.79,0.87,1
238,4,0.04,0.09,0.15,0.28,0.4,1
239,1,0.23,0.41,0.59,0.71,0.78,1
240,3,0.03,0.09,0.26,0.42,0.53,1
241,5,0.01,0.03,0.09,0.24,0.33,1
242,3,0.06,0.17,0.31,0.51,0.66,1
243,1,0.32,0.57,0.64,0.78,0.84,1
244,4,0.03,0.08,0.2,0.35,0.44,2
245,1,0.35,0.53,0.66,0.78,0.89,1
246,3,0.05,0.07,0.24,0.43,0.55,1
247,4,0.03,0.06,0.13,0.3,0.41,2
248,3,0.06,0.19,0.33,0.61,0.73,2
249,5,0.01,0.05,0.13,0.23,0.35,1
250,2,0.19,0.33,0.43,0.61,0.75,1
251,5,0.01,0.03,0.08,0.19,0.34,1
252,2,0.16,0.35,0.57,0.73,0.85,1
253,4,0.03,0.08,0.14,0.24,0.36,2
254,2,0.1,0.29,0.51,0.6,0.77,1
255,3,0.1,0.17,0.37,0.5,0.64,1
256,3,0.03,0.09,0.27,0.41,0.63,1
257,3,0.05,0.15,0.33,0.51,0.71,1
258,1,0.3,0.5,0.69,0.8,0.86,2
259,4,0.02,0.07,0.16,0.29,0.51,1
260,2,0.15,0.26,0.35,0.41,0.64,1
261,4,0.01,0.04,0.11,0.24,0.48,2
262,1,0.36,0.4,0.57,0.71,0.84,1
263,4,0.03,0.05,0.14,0.34,0.61,1
264,1,0.28,0.33,0.54,0.68,0.85,1
265,1,0.26,0.43,0.58,0.75,0.88,1
266,4,0.03,0.09,0.15,0.29,0.5,1
267,1,0.29,0.38,0.55,0.73,0.85,1
268,5,0.01,0.02,0.05,0.15,0.3,1
269,5,0.01,0.02,0.04,0.1,0.23,2
270,2,0.17,0.27,0.43,0.62,0.77,1
271,5,0.01,0.03,0.05,0.13,0.3,2
272,4,0.07,0.13,0.24,0.34,0.58,1
273,2,0.23,0.33,0.52,0.67,0.76,1
274,4,0.14,0.2,0.21,0.37,0.52,1
275,4,0.03,0.05,0.1,0.32,0.46,1
276,1,0.36,0.53,0.69,0.83,0.91,1
277,5,0.01,0.02,0.05,0.09,0.23,1
278,1,0.3,0.44,0.68,0.81,0.92,1
279,5,0.03,0.08,0.1,0.21,0.3,1
280,1,0.27,0.47,0.51,0.59,0.72,1
281,2,0.12,0.24,0.42,0.58,0.79,1
282,4,0.02,0.06,0.1,0.25,0.42,2
283,4,0.02,0.05,0.16,0.29,0.42,1
284,4,0.03,0.04,0.12,0.31,0.4,1
285,3,0.11,0.2,0.3,0.4,0.61,1
286,4,0.01,0.04,0.1,0.24,0.41,1
287,5,0.03,0.06,0.15,0.22,0.37,1
288,4,0.02,0.04,0.16,0.25,0.46,1
289,5,0.01,0.04,0.08,0.19,0.3,1
290,1,0.3,0.56,0.77,0.9,0.93,1
291,1,0.35,0.49,0.55,0.68,0.82,3
292,1,0.37,0.56,0.7,0.84,0.92,1
293,2,0.1,0.3,0.47,0.67,0.82,1
294,2,0.12,0.27,0.41,0.6,0.74,1
295,1,0.24,0.45,0.5,0.59,0.78,1
296,3,0.04,0.18,0.27,0.37,0.49,1
297,2,0.23,0.27,0.47,0.71,0.84,1
298,4,0.06,0.13,0.16,0.3,0.56,2
299,3,0.06,0.15,0.37,0.62,0.68,1
300,4,0.03,0.05,0.14,0.25,0.41,2
301,4,0.02,0.07,0.15,0.23,0.37,1
302,2,0.19,0.32,0.46,0.6,0.78,1
303,3,0.09,0.16,0.36,0.6,0.74,1
304,3,0.08,0.14,0.36,0.54,0.67,1
305,5,0.02,0.04,0.08,0.16,0.36,1
306,1,0.37,0.53,0.6,0.73,0.86,1
307,4,0.02,0.06,0.12,0.28,0.44,1
308,4,0.03,0.1,0.15,0.31,0.46,1
309,1,0.32,0.44,0.61,0.8,0.9,1
310,5,0.01,0.04,0.07,0.18,0.31,1
311,3,0.07,0.19,0.31,0.32,0.5,2
312,3,0.05,0.12,0.35,0.46,0.67,2
313,1,0.34,0.46,0.59,0.69,0.8,1
314,1,0.35,0.55,0.72,0.78,0.88,1
315,1,0.25,0.41,0.57,0.75,0.86,1
316,5,0.03,0.04,0.08,0.12,0.33,1
317,2,0.22,0.32,0.45,0.56,0.73,1
318,3,0.04,0.1,0.26,0.48,0.67,1
319,2,0.23,0.36,0.57,0.74,0.84,1
320,2,0.17,0.31,0.45,0.68,0.82,1
321,5,0.01,0.03,0.08,0.14,0.36,1
322,2,0.18,0.33,0.43,0.6,0.74,1
323,1,0.35,0.55,0.6,0.81,0.88,1
324,1,0.37,0.54,0.71,0.82,0.89,1
325,2,0.13,0.27,0.42,0.63,0.73,1
326,5,0,0.01,0.03,0.07,0.24,1
327,3,0.07,0.16,0.27,0.39,0.56,1
328,1,0.32,0.44,0.63,0.74,0.84,1
329,2,0.11,0.24,0.42,0.54,0.7,1
330,5,0.01,0.02,0.07,0.19,0.24,1
331,3,0.04,0.11,0.27,0.45,0.57,1
332,5,0.01,0.03,0.06,0.18,0.35,1
333,5,0.02,0.06,0.12,0.21,0.32,1
334,4,0.03,0.04,0.14,0.34,0.44,1
335,1,0.32,0.55,0.67,0.82,0.92,1
336,2,0.15,0.37,0.5,0.65,0.8,1
337,1,0.28,0.48,0.61,0.79,0.89,1
338,3,0.05,0.11,0.31,0.41,0.53,1
339,3,0.04,0.12,0.35,0.44,0.61,1
340,5,0.01,0.03,0.06,0.13,0.35,1
341,5,0.02,0.03,0.05,0.16,0.27,1
342,2,0.17,0.37,0.48,0.74,0.88,1
343,5,0.01,0.03,0.06,0.13,0.25,1
344,5,0.02,0.04,0.06,0.13,0.31,1
345,1,0.3,0.44,0.56,0.72,0.8,1
346,2,0.27,0.3,0.38,0.39,0.54,2
347,2,0.14,0.27,0.4,0.5,0.64,1
348,3,0.1,0.2,0.32,0.51,0.69,1
349,1,0.33,0.5,0.63,0.74,0.85,1
350,4,0.02,0.05,0.12,0.31,0.46,1
351,5,0.01,0.03,0.09,0.15,0.29,1
352,4,0.04,0.11,0.18,0.31,0.44,1
353,2,0.16,0.35,0.5,0.68,0.78,1
354,5,0.01,0.03,0.09,0.2,0.31,1
355,1,0.28,0.44,0.68,0.84,0.92,1
356,3,0.11,0.19,0.34,0.51,0.67,2
357,4,0.02,0.04,0.1,0.25,0.45,1
358,5,0.01,0.02,0.04,0.07,0.23,1
359,4,0.03,0.07,0.16,0.3,0.4,1
360,1,0.29,0.46,0.61,0.67,0.8,1
361,2,0.12,0.29,0.49,0.63,0.75,1
362,5,0.02,0.04,0.11,0.25,0.32,2
363,1,0.32,0.47,0.64,0.79,0.8,1
364,2,0.12,0.23,0.43,0.62,0.7,2
365,5,0.01,0.04,0.09,0.19,0.25,1
366,2,0.18,0.26,0.41,0.49,0.6,1
367,1,0.32,0.45,0.62,0.72,0.8,1
368,4,0.08,0.12,0.21,0.36,0.46,1
369,2,0.14,0.24,0.39,0.54,0.71,1
370,5,0.03,0.06,0.08,0.19,0.32,1
371,5,0.01,0.03,0.1,0.14,0.25,1
372,3,0.1,0.22,0.33,0.58,0.73,1
373,4,0.02,0.06,0.11,0.24,0.42,2
374,4,0.02,0.06,0.17,0.29,0.46,1
375,4,0.04,0.1,0.14,0.27,0.39,2
376,2,0.13,0.26,0.47,0.59,0.72,1
377,3,0.07,0.16,0.29,0.36,0.58,1
378,3,0.09,0.14,0.34,0.45,0.6,1
379,2,0.09,0.26,0.38,0.53,0.66,1
380,5,0,0.01,0.02,0.06,0.31,2
381,3,0.09,0.17,0.3,0.48,0.62,2
382,2,0.12,0.26,0.35,0.43,0.61,1
383,3,0.05,0.15,0.3,0.48,0.61,1
384,4,0.02,0.04,0.08,0.24,0.36,1
385,1,0.24,0.39,0.57,0.75,0.84,1
386,4,0.01,0.04,0.18,0.31,0.39,1
387,1,0.31,0.54,0.66,0.76,0.85,1
388,5,0.01,0.02,0.03,0.1,0.25,1
389,1,0.31,0.41,0.52,0.69,0.77,1
390,2,0.17,0.29,0.42,0.65,0.8,2
391,4,0.01,0.04,0.15,0.34,0.51,1
392,2,0.15,0.37,0.54,0.68,0.74,1
393,5,0.03,0.07,0.16,0.24,0.34,2
394,1,0.31,0.42,0.54,0.74,0.86,1
395,4,0.05,0.13,0.15,0.36,0.58,1
396,4,0.05,0.11,0.21,0.31,0.39,1
397,5,0,0.01,0.04,0.11,0.34,1
398,3,0.07,0.16,0.34,0.54,0.72,1
399,1,0.27,0.52,0.59,0.76,0.86,1
400,5,0.02,0.04,0.06,0.1,0.27,1
401,4,0.01,0.04,0.13,0.27,0.44,1
402,1,0.31,0.51,0.71,0.83,0.88,1
403,1,0.36,0.46,0.69,0.84,0.91,1
404,5,0.02,0.04,0.09,0.22,0.36,1
405,2,0.14,0.3,0.45,0.6,0.75,2
406,4,0.03,0.1,0.17,0.33,0.56,1
407,5,0.01,0.05,0.07,0.21,0.36,1
408,4,0.02,0.04,0.13,0.34,0.44,1
409,1,0.29,0.45,0.62,0.76,0.88,1
410,1,0.34,0.45,0.66,0.84,0.9,1
411,5,0.01,0.03,0.11,0.16,0.35,1
412,2,0.2,0.35,0.49,0.76,0.89,1
413,4,0.04,0.06,0.15,0.31,0.44,1
414,2,0.14,0.26,0.43,0.56,0.67,1
415,1,0.3,0.5,0.63,0.74,0.85,1
416,5,0.01,0.02,0.06,0.16,0.32,2
417,2,0.16,0.36,0.38,0.56,0.74,1
418,4,0.02,0.05,0.11,0.33,0.42,1
419,5,0,0.01,0.03,0.07,0.23,1
420,4,0.03,0.08,0.13,0.27,0.36,1
421,2,0.22,0.37,0.52,0.64,0.79,1
422,3,0.08,0.16,0.29,0.45,0.52,1
423,5,0.01,0.02,0.07,0.1,0.24,1
424,4,0.04,0.08,0.14,0.27,0.42,1
425,5,0.01,0.02,0.05,0.13,0.26,1
426,4,0.08,0.13,0.17,0.36,0.56,1
427,4,0.03,0.05,0.17,0.36,0.58,1
428,4,0.03,0.06,0.16,0.29,0.47,1
429,3,0.06,0.14,0.24,0.38,0.59,1
430,2,0.27,0.28,0.45,0.66,0.77,1
431,1,0.33,0.54,0.69,0.83,0.92,1
432,2,0.25,0.34,0.51,0.59,0.72,1
433,2,0.13,0.25,0.38,0.45,0.63,1
434,5,0.01,0.02,0.05,0.14,0.33,1
435,5,0.03,0.04,0.06,0.13,0.26,3
436,5,0.04,0.05,0.12,0.21,0.35,1
437,2,0.14,0.32,0.41,0.62,0.74,1
438,3,0.07,0.18,0.37,0.54,0.66,1
439,2,0.21,0.32,0.55,0.73,0.84,2
440,4,0.02,0.07,0.16,0.3,0.49,1
441,1,0.33,0.45,0.59,0.63,0.74,1
442,4,0.07,0.13,0.19,0.33,0.51,1
443,4,0.02,0.04,0.15,0.26,0.38,1
444,2,0.17,0.28,0.42,0.56,0.71,1
445,1,0.32,0.55,0.64,0.74,0.85,1
446,3,0.1,0.15,0.28,0.47,0.6,1
447,5,0.01,0.02,0.07,0.16,0.28,2
448,4,0.03,0.06,0.12,0.27,0.4,1
449,2,0.17,0.31,0.37,0.52,0.63,1
450,1,0.37,0.58,0.77,0.83,0.85,1
451,3,0.03,0.08,0.29,0.46,0.61,1
452,2,0.18,0.25,0.45,0.57,0.67,1
453,2,0.19,0.28,0.39,0.51,0.73,1
454,4,0.03,0.06,0.18,0.31,0.46,1
455,2,0.18,0.31,0.45,0.52,0.74,1
456,2,0.14,0.32,0.43,0.56,0.69,1
457,5,0.01,0.02,0.06,0.13,0.28,1
458,5,0.01,0.03,0.08,0.14,0.27,2
459,4,0.02,0.03,0.08,0.25,0.39,1
460,3,0.06,0.15,0.29,0.43,0.51,1
461,3,0.06,0.14,0.37,0.53,0.71,1
462,2,0.22,0.33,0.49,0.63,0.79,1
463,5,0.01,0.02,0.05,0.12,0.31,1
464,1,0.36,0.46,0.63,0.78,0.86,1
465,5,0.01,0.03,0.07,0.12,0.26,1
466,4,0.03,0.15,0.22,0.36,0.6,1
467,5,0,0.01,0.04,0.07,0.23,1
468,4,0.02,0.06,0.13,0.34,0.48,1
469,5,0.02,0.03,0.07,0.14,0.24,2
470,5,0.01,0.02,0.03,0.06,0.23,1
471,4,0.05,0.11,0.17,0.35,0.55,1
472,1,0.27,0.39,0.68,0.82,0.9,1
473,3,0.06,0.17,0.36,0.52,0.58,1
474,4,0.02,0.03,0.09,0.3,0.43,2
475,1,0.31,0.46,0.59,0.62,0.71,1
476,2,0.16,0.26,0.44,0.64,0.79,1
477,3,0.08,0.17,0.27,0.49,0.72,1
478,5,0.03,0.05,0.09,0.2,0.28,1
479,4,0.02,0.05,0.13,0.33,0.39,1
480,2,0.11,0.25,0.4,0.57,0.73,1
481,3,0.03,0.11,0.24,0.38,0.57,1
482,3,0.04,0.11,0.31,0.46,0.56,1
483,1,0.28,0.45,0.5,0.61,0.78,1
484,1,0.28,0.36,0.49,0.73,0.79,1
485,4,0.04,0.08,0.16,0.34,0.59,1
486,1,0.23,0.37,0.6,0.65,0.84,1
487,3,0.03,0.11,0.27,0.48,0.62,2
488,3,0.04,0.11,0.23,0.39,0.61,1
489,1,0.3,0.46,0.66,0.77,0.86,1
490,1,0.26,0.41,0.59,0.75,0.82,1
491,1,0.35,0.47,0.59,0.75,0.9,1
492,2,0.14,0.3,0.49,0.66,0.81,1
493,4,0.03,0.06,0.1,0.33,0.35,1
494,3,0.05,0.13,0.3,0.44,0.58,1
495,4,0.03,0.08,0.16,0.36,0.5,1
496,5,0,0.01,0.04,0.13,0.29,1
497,2,0.13,0.24,0.45,0.56,0.63,1
498,2,0.19,0.36,0.45,0.51,0.7,1
499,5,0.01,0.02,0.05,0.13,0.25,1
500,5,0.01,0.03,0.06,0.12,0.26,1
501,3,0.09,0.22,0.33,0.47,0.64,1
502,1,0.27,0.48,0.56,0.72,0.83,1
503,3,0.08,0.2,0.34,0.51,0.74,2
504,4,0.02,0.04,0.11,0.23,0.42,1
505,4,0.04,0.11,0.19,0.32,0.56,1
506,1,0.25,0.48,0.65,0.74,0.87,1
507,2,0.16,0.36,0.54,0.74,0.88,1
508,3,0.03,0.08,0.25,0.4,0.61,1
509,3,0.04,0.11,0.24,0.36,0.54,1
510,5,0.01,0.03,0.06,0.11,0.36,1
511,4,0.01,0.03,0.07,0.32,0.48,1
512,2,0.17,0.34,0.47,0.61,0.75,1
513,3,0.07,0.21,0.27,0.52,0.65,1
514,1,0.35,0.57,0.77,0.87,0.93,1
515,3,0.06,0.1,0.31,0.49,0.64,1
516,4,0.06,0.1,0.22,0.37,0.56,2
517,2,0.14,0.29,0.51,0.66,0.75,1
518,1,0.24,0.39,0.58,0.73,0.83,1
519,2,0.15,0.32,0.55,0.67,0.85,1
520,3,0.06,0.12,0.25,0.37,0.47,1
521,4,0.02,0.04,0.09,0.26,0.38,1
522,2,0.16,0.34,0.39,0.7,0.84,1
523,2,0.2,0.34,0.54,0.67,0.82,1
524,2,0.12,0.31,0.49,0.68,0.87,1
525,2,0.09,0.27,0.37,0.53,0.75,2
526,1,0.29,0.47,0.64,0.74,0.85,1
527,5,0.01,0.03,0.08,0.16,0.28,1
528,2,0.11,0.3,0.48,0.66,0.8,1
529,4,0.02,0.04,0.09,0.25,0.41,1
530,2,0.14,0.35,0.5,0.69,0.79,1
531,3,0.07,0.12,0.29,0.43,0.54,1
532,3,0.08,0.17,0.32,0.53,0.61,2
533,1,0.28,0.5,0.72,0.83,0.91,1
534,3,0.09,0.19,0.36,0.49,0.6,1
535,3,0.04,0.1,0.24,0.39,0.47,2
536,3,0.05,0.17,0.29,0.37,0.44,1
