"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
139,1,0.34,0.44,0.54,0.62,0.68,1
140,5,0.04,0.05,0.09,0.12,0.26,1
141,4,0.05,0.1,0.19,0.25,0.36,1
142,4,0.1,0.16,0.21,0.3,0.37,1
143,3,0.1,0.19,0.34,0.45,0.66,1
144,3,0.09,0.17,0.26,0.41,0.61,1
145,3,0.13,0.21,0.32,0.43,0.52,1
146,1,0.28,0.39,0.49,0.59,0.72,1
147,5,0.06,0.1,0.14,0.2,0.32,1
148,5,0.05,0.11,0.17,0.26,0.32,1
149,1,0.33,0.46,0.56,0.7,0.83,2
150,1,0.3,0.4,0.46,0.47,0.54,1
151,3,0.16,0.22,0.32,0.37,0.47,1
152,3,0.13,0.18,0.3,0.38,0.46,1
153,5,0.06,0.09,0.11,0.17,0.27,1
154,3,0.1,0.17,0.29,0.35,0.41,2
155,1,0.25,0.35,0.47,0.52,0.64,1
156,5,0.06,0.08,0.13,0.19,0.28,1
157,2,0.22,0.32,0.41,0.46,0.58,1
158,1,0.31,0.47,0.61,0.69,0.77,1
159,3,0.09,0.17,0.31,0.36,0.44,1
160,1,0.27,0.39,0.5,0.62,0.66,1
161,4,0.06,0.09,0.16,0.29,0.34,2
162,2,0.18,0.31,0.4,0.53,0.61,2
163,3,0.08,0.15,0.28,0.35,0.46,1
164,2,0.22,0.34,0.53,0.65,0.72,1
165,2,0.18,0.31,0.45,0.53,0.61,1
166,5,0.05,0.06,0.09,0.17,0.29,1
167,2,0.19,0.28,0.36,0.46,0.55,1
168,4,0.07,0.11,0.17,0.29,0.38,2
169,2,0.16,0.27,0.33,0.44,0.48,1
170,2,0.21,0.32,0.38,0.47,0.61,2
171,3,0.1,0.16,0.32,0.41,0.47,1
172,1,0.31,0.43,0.49,0.62,0.77,1
173,2,0.17,0.29,0.42,0.56,0.68,2
174,3,0.14,0.2,0.26,0.35,0.37,1
175,4,0.05,0.11,0.18,0.27,0.37,1
176,2,0.16,0.27,0.36,0.49,0.55,1
177,4,0.09,0.17,0.18,0.29,0.34,1
178,2,0.19,0.33,0.46,0.54,0.65,1
179,4,0.12,0.15,0.2,0.27,0.39,1
180,1,0.31,0.46,0.52,0.62,0.7,1
181,4,0.09,0.17,0.22,0.3,0.4,1
182,3,0.06,0.15,0.31,0.39,0.52,1
183,5,0.13,0.14,0.19,0.2,0.29,2
184,4,0.08,0.15,0.22,0.3,0.39,1
185,4,0.12,0.18,0.27,0.32,0.41,1
186,2,0.15,0.31,0.38,0.49,0.54,1
187,1,0.27,0.33,0.44,0.53,0.66,1
188,1,0.26,0.39,0.49,0.62,0.72,2
189,2,0.18,0.26,0.36,0.46,0.56,2
190,5,0.05,0.08,0.11,0.22,0.35,1
191,1,0.29,0.4,0.5,0.62,0.69,1
192,5,0.02,0.04,0.09,0.17,0.27,1
193,1,0.33,0.46,0.61,0.71,0.79,1
194,2,0.25,0.33,0.43,0.56,0.69,1
195,3,0.14,0.23,0.34,0.46,0.58,1
196,1,0.32,0.46,0.57,0.74,0.81,1
197,1,0.32,0.35,0.45,0.55,0.67,2
198,2,0.23,0.32,0.47,0.6,0.72,1
199,5,0.03,0.05,0.08,0.14,0.27,1
200,5,0.04,0.07,0.13,0.2,0.29,1
201,1,0.26,0.38,0.48,0.57,0.65,1
202,1,0.33,0.43,0.55,0.62,0.72,1
203,2,0.23,0.32,0.47,0.56,0.67,2
204,3,0.1,0.18,0.34,0.44,0.52,1
205,4,0.08,0.14,0.21,0.27,0.42,1
206,5,0.06,0.07,0.09,0.18,0.26,1
207,5,0.06,0.09,0.15,0.17,0.27,1
208,4,0.1,0.17,0.25,0.29,0.4,1
209,5,0.05,0.07,0.14,0.21,0.29,1
210,3,0.16,0.23,0.33,0.47,0.58,1
211,3,0.12,0.18,0.31,0.43,0.5,1
212,5,0.05,0.09,0.14,0.19,0.27,1
213,1,0.3,0.41,0.51,0.61,0.67,1
214,1,0.34,0.44,0.48,0.62,0.68,1
215,5,0.05,0.06,0.15,0.24,0.35,1
216,5,0.03,0.05,0.09,0.16,0.31,1
217,4,0.12,0.17,0.2,0.32,0.43,1
218,4,0.09,0.13,0.22,0.3,0.38,1
219,2,0.15,0.26,0.4,0.54,0.68,1
220,1,0.27,0.38,0.49,0.55,0.61,1
221,2,0.2,0.34,0.41,0.52,0.64,1
222,5,0.03,0.05,0.11,0.14,0.27,2
223,1,0.29,0.39,0.58,0.62,0.69,1
224,1,0.26,0.39,0.53,0.6,0.67,1
225,1,0.27,0.37,0.52,0.62,0.74,1
226,5,0.02,0.04,0.1,0.17,0.26,1
227,3,0.11,0.17,0.28,0.34,0.43,2
228,1,0.32,0.33,0.44,0.51,0.63,1
229,4,0.07,0.11,0.16,0.29,0.35,1
230,5,0.05,0.08,0.12,0.18,0.29,1
231,4,0.05,0.09,0.14,0.26,0.39,1
232,2,0.2,0.35,0.45,0.57,0.68,1
233,5,0.1,0.13,0.17,0.24,0.28,1
234,4,0.07,0.1,0.17,0.26,0.34,1
235,4,0.06,0.11,0.19,0.31,0.4,2
236,4,0.08,0.11,0.16,0.26,0.34,1
237,1,0.29,0.37,0.42,0.52,0.57,1
238,1,0.27,0.38,0.47,0.55,0.68,1
239,3,0.14,0.23,0.34,0.43,0.49,1
240,2,0.24,0.34,0.45,0.63,0.75,1
241,1,0.28,0.41,0.53,0.6,0.77,1
242,2,0.16,0.28,0.44,0.49,0.6,1
243,5,0.08,0.1,0.18,0.26,0.32,1
244,5,0.04,0.07,0.14,0.21,0.28,1
245,3,0.16,0.19,0.27,0.35,0.43,1
246,1,0.27,0.36,0.46,0.58,0.67,2
247,4,0.07,0.11,0.21,0.3,0.44,1
248,4,0.09,0.14,0.25,0.33,0.45,1
249,3,0.12,0.21,0.3,0.41,0.5,1
250,5,0.04,0.05,0.09,0.17,0.31,1
251,2,0.14,0.27,0.36,0.5,0.62,1
252,1,0.28,0.37,0.43,0.5,0.59,2
253,5,0.08,0.14,0.18,0.24,0.34,3
254,2,0.2,0.28,0.38,0.49,0.63,1
255,1,0.29,0.35,0.43,0.46,0.6,1
256,2,0.22,0.33,0.49,0.57,0.65,1
257,5,0.08,0.12,0.16,0.25,0.33,1
258,4,0.1,0.19,0.24,0.34,0.41,1
259,3,0.1,0.19,0.31,0.38,0.6,1
260,5,0.07,0.12,0.18,0.24,0.29,1
261,2,0.19,0.28,0.38,0.5,0.64,2
262,2,0.23,0.33,0.36,0.48,0.56,1
263,3,0.22,0.24,0.3,0.39,0.47,1
264,3,0.16,0.24,0.34,0.42,0.52,1
265,4,0.12,0.18,0.24,0.33,0.42,1
266,4,0.07,0.13,0.23,0.34,0.41,1
267,1,0.29,0.33,0.44,0.55,0.61,1
268,5,0.03,0.05,0.08,0.18,0.26,1
269,4,0.09,0.15,0.26,0.33,0.41,2
270,5,0.05,0.09,0.13,0.17,0.3,1
271,5,0.03,0.05,0.11,0.16,0.25,1
272,5,0.05,0.08,0.11,0.18,0.26,1
273,5,0.03,0.05,0.09,0.21,0.31,1
274,4,0.09,0.13,0.21,0.34,0.4,1
275,2,0.22,0.35,0.44,0.55,0.66,1
276,3,0.11,0.16,0.26,0.39,0.52,1
277,2,0.15,0.26,0.39,0.51,0.62,1
278,4,0.07,0.14,0.19,0.26,0.37,2
279,4,0.08,0.13,0.19,0.27,0.41,1
280,5,0.03,0.07,0.1,0.2,0.28,1
281,4,0.08,0.16,0.21,0.33,0.47,1
282,2,0.18,0.27,0.36,0.5,0.58,1
283,2,0.24,0.34,0.52,0.65,0.69,1
284,5,0.06,0.07,0.11,0.15,0.28,1
285,4,0.06,0.11,0.16,0.26,0.4,1
286,4,0.06,0.1,0.16,0.25,0.35,1
287,2,0.13,0.27,0.34,0.43,0.51,1
288,3,0.12,0.16,0.29,0.37,0.45,1
289,5,0.03,0.05,0.11,0.14,0.27,1
290,5,0.05,0.06,0.1,0.14,0.26,1
291,4,0.08,0.12,0.16,0.26,0.4,1
292,2,0.18,0.29,0.34,0.42,0.61,1
293,2,0.18,0.29,0.34,0.51,0.66,1
294,5,0.05,0.09,0.12,0.16,0.25,1
295,5,0.06,0.12,0.15,0.24,0.3,1
296,3,0.13,0.23,0.34,0.53,0.64,1
297,5,0.04,0.08,0.1,0.21,0.27,1
298,4,0.08,0.11,0.18,0.27,0.47,1
299,4,0.05,0.07,0.14,0.31,0.38,1
300,1,0.27,0.41,0.52,0.6,0.75,1
301,3,0.15,0.21,0.32,0.46,0.55,2
302,5,0.04,0.08,0.12,0.2,0.33,1
303,2,0.22,0.34,0.44,0.48,0.65,1
304,3,0.13,0.23,0.27,0.38,0.47,2
305,4,0.08,0.12,0.18,0.28,0.43,1
306,1,0.29,0.37,0.49,0.56,0.62,1
307,2,0.19,0.29,0.38,0.53,0.64,1
308,2,0.17,0.26,0.36,0.43,0.55,1
309,4,0.1,0.14,0.21,0.33,0.41,1
310,3,0.08,0.16,0.29,0.32,0.45,1
311,1,0.27,0.34,0.42,0.51,0.66,1
312,1,0.33,0.36,0.44,0.55,0.68,1
313,2,0.21,0.27,0.39,0.53,0.67,1
314,4,0.05,0.11,0.21,0.31,0.41,1
315,4,0.06,0.14,0.21,0.33,0.45,2
316,3,0.12,0.18,0.28,0.4,0.52,1
317,1,0.29,0.4,0.46,0.56,0.69,1
318,3,0.13,0.21,0.34,0.38,0.46,1
319,4,0.1,0.17,0.22,0.3,0.49,1
320,2,0.21,0.26,0.36,0.45,0.51,1
321,1,0.33,0.49,0.62,0.78,0.85,1
322,2,0.17,0.31,0.46,0.53,0.64,1
323,3,0.14,0.23,0.35,0.44,0.55,1
324,1,0.28,0.33,0.44,0.56,0.71,1
325,5,0.05,0.07,0.12,0.21,0.25,1
326,1,0.3,0.42,0.53,0.65,0.75,1
327,1,0.28,0.38,0.52,0.62,0.71,1
328,1,0.27,0.33,0.45,0.58,0.61,1
329,2,0.18,0.3,0.42,0.58,0.73,1
330,5,0.07,0.11,0.15,0.23,0.33,1
331,1,0.29,0.36,0.44,0.58,0.66,1
332,1,0.31,0.42,0.54,0.62,0.67,1
333,3,0.09,0.18,0.26,0.39,0.49,1
334,2,0.23,0.28,0.37,0.5,0.58,1
335,2,0.24,0.32,0.4,0.56,0.75,1
336,5,0.04,0.07,0.11,0.17,0.29,2
337,3,0.13,0.21,0.33,0.42,0.54,1
338,4,0.08,0.1,0.17,0.31,0.4,1
339,1,0.28,0.41,0.48,0.6,0.68,1
340,2,0.21,0.33,0.41,0.54,0.6,1
341,1,0.27,0.35,0.45,0.54,0.62,1
342,3,0.16,0.28,0.31,0.45,0.58,1
343,1,0.26,0.34,0.44,0.5,0.65,1
344,3,0.14,0.16,0.25,0.39,0.49,2
345,2,0.21,0.31,0.42,0.56,0.7,1
346,2,0.17,0.27,0.35,0.46,0.59,1
347,5,0.07,0.08,0.16,0.25,0.32,1
348,2,0.18,0.29,0.37,0.51,0.64,1
349,4,0.1,0.17,0.23,0.32,0.49,1
350,1,0.31,0.42,0.48,0.57,0.68,1
351,2,0.19,0.25,0.39,0.45,0.56,1
352,5,0.03,0.07,0.11,0.16,0.26,1
353,5,0.05,0.06,0.15,0.23,0.32,1
354,2,0.19,0.3,0.42,0.52,0.58,1
355,1,0.27,0.4,0.48,0.6,0.66,1
356,4,0.1,0.13,0.19,0.27,0.37,1
357,5,0.07,0.08,0.13,0.21,0.33,1
358,2,0.18,0.32,0.47,0.53,0.63,1
359,3,0.09,0.17,0.28,0.4,0.54,1
360,2,0.18,0.28,0.41,0.5,0.56,1
361,4,0.07,0.14,0.19,0.28,0.38,1
362,4,0.05,0.08,0.16,0.3,0.4,1
363,1,0.29,0.37,0.46,0.6,0.73,1
364,5,0.08,0.1,0.17,0.22,0.3,1
365,4,0.07,0.11,0.2,0.28,0.39,1
366,2,0.21,0.35,0.44,0.49,0.59,1
367,2,0.17,0.31,0.42,0.53,0.67,1
368,4,0.08,0.15,0.23,0.31,0.39,1
369,5,0.03,0.07,0.1,0.16,0.32,1
370,3,0.09,0.18,0.29,0.41,0.51,3
371,2,0.21,0.34,0.44,0.55,0.73,1
372,2,0.22,0.31,0.49,0.54,0.66,1
373,5,0.04,0.07,0.1,0.19,0.35,1
374,4,0.07,0.14,0.19,0.31,0.42,1
375,3,0.16,0.2,0.33,0.43,0.51,1
376,5,0.03,0.05,0.06,0.16,0.27,1
377,2,0.17,0.31,0.35,0.43,0.62,1
378,5,0.05,0.08,0.15,0.23,0.29,1
379,2,0.17,0.27,0.34,0.41,0.47,1
380,1,0.32,0.43,0.45,0.56,0.66,1
381,2,0.2,0.3,0.41,0.48,0.57,1
382,5,0.04,0.06,0.12,0.17,0.31,1
383,1,0.35,0.5,0.63,0.74,0.8,1
384,1,0.29,0.35,0.53,0.59,0.68,1
385,3,0.11,0.14,0.25,0.36,0.5,1
386,1,0.29,0.43,0.48,0.56,0.67,1
387,5,0.03,0.06,0.11,0.2,0.3,1
388,2,0.22,0.32,0.38,0.47,0.62,1
389,4,0.04,0.08,0.15,0.28,0.4,1
390,1,0.34,0.47,0.54,0.59,0.65,1
391,3,0.16,0.22,0.28,0.36,0.5,1
392,5,0.06,0.07,0.09,0.16,0.28,2
393,4,0.12,0.2,0.26,0.32,0.42,1
394,1,0.35,0.5,0.62,0.75,0.79,1
395,4,0.08,0.15,0.18,0.31,0.39,1
396,4,0.11,0.18,0.2,0.33,0.42,1
397,2,0.17,0.27,0.34,0.45,0.54,1
398,5,0.04,0.06,0.1,0.18,0.32,1
399,4,0.11,0.17,0.23,0.31,0.41,1
400,5,0.06,0.08,0.13,0.2,0.28,1
401,4,0.07,0.1,0.17,0.31,0.42,1
402,3,0.2,0.24,0.34,0.42,0.55,1
403,5,0.03,0.06,0.1,0.18,0.28,1
404,1,0.33,0.42,0.56,0.62,0.7,1
405,3,0.09,0.16,0.28,0.36,0.49,1
406,4,0.07,0.12,0.2,0.29,0.4,1
407,5,0.05,0.07,0.11,0.2,0.28,1
408,3,0.18,0.23,0.34,0.47,0.54,3
409,1,0.31,0.43,0.49,0.59,0.67,1
410,5,0.05,0.09,0.13,0.16,0.29,1
411,1,0.34,0.45,0.55,0.59,0.74,1
412,3,0.13,0.21,0.26,0.38,0.44,1
413,3,0.12,0.2,0.31,0.41,0.51,2
414,2,0.17,0.35,0.48,0.58,0.69,1
415,4,0.08,0.15,0.2,0.35,0.41,1
416,4,0.09,0.14,0.19,0.32,0.39,1
417,1,0.32,0.41,0.57,0.66,0.78,1
418,5,0.03,0.05,0.09,0.17,0.3,1
419,3,0.08,0.19,0.33,0.46,0.58,3
420,2,0.25,0.3,0.34,0.47,0.54,1
421,2,0.15,0.26,0.41,0.55,0.67,1
422,1,0.27,0.38,0.45,0.54,0.62,1
423,5,0.04,0.07,0.1,0.16,0.26,1
424,2,0.23,0.3,0.4,0.54,0.65,1
425,4,0.06,0.11,0.16,0.28,0.39,1
426,4,0.09,0.13,0.23,0.35,0.38,1
427,3,0.13,0.2,0.31,0.38,0.51,1
428,3,0.14,0.2,0.32,0.39,0.53,1
429,2,0.18,0.26,0.4,0.53,0.62,1
430,5,0.04,0.06,0.11,0.17,0.3,2
431,5,0.07,0.13,0.18,0.22,0.31,1
432,4,0.08,0.11,0.21,0.29,0.4,1
433,4,0.11,0.19,0.25,0.34,0.51,1
434,2,0.17,0.25,0.36,0.47,0.55,1
435,3,0.14,0.16,0.27,0.36,0.47,1
436,2,0.22,0.34,0.45,0.5,0.58,1
437,2,0.15,0.26,0.35,0.5,0.6,1
438,3,0.1,0.2,0.32,0.44,0.54,1
439,3,0.13,0.18,0.3,0.41,0.51,1
440,3,0.18,0.23,0.32,0.39,0.51,1
441,2,0.17,0.32,0.47,0.59,0.66,1
442,2,0.2,0.29,0.36,0.44,0.53,1
443,3,0.11,0.16,0.26,0.37,0.43,1
444,4,0.11,0.16,0.21,0.32,0.44,1
445,4,0.08,0.14,0.21,0.28,0.47,2
446,3,0.11,0.21,0.33,0.46,0.53,1
447,3,0.13,0.18,0.31,0.39,0.47,2
448,4,0.05,0.13,0.19,0.32,0.38,1
449,1,0.32,0.44,0.48,0.59,0.7,1
450,2,0.2,0.27,0.34,0.48,0.54,1
451,3,0.14,0.23,0.32,0.45,0.59,1
452,4,0.05,0.13,0.24,0.32,0.39,2
453,3,0.09,0.17,0.3,0.43,0.56,1
454,3,0.11,0.19,0.32,0.43,0.6,1
455,5,0.05,0.08,0.14,0.22,0.3,1
456,2,0.2,0.29,0.37,0.49,0.58,2
457,1,0.3,0.38,0.53,0.64,0.73,1
458,1,0.33,0.44,0.54,0.7,0.78,1
459,5,0.03,0.05,0.1,0.16,0.27,1
460,1,0.34,0.51,0.57,0.7,0.8,1
461,1,0.3,0.38,0.51,0.57,0.7,1
462,3,0.13,0.22,0.34,0.49,0.62,1
463,4,0.14,0.17,0.22,0.35,0.46,1
464,1,0.33,0.42,0.52,0.69,0.78,1
465,2,0.21,0.3,0.38,0.44,0.6,1
466,2,0.15,0.26,0.35,0.49,0.55,1
467,5,0.05,0.09,0.15,0.2,0.32,1
468,4,0.14,0.19,0.21,0.32,0.45,1
469,2,0.14,0.28,0.38,0.51,0.62,1
470,4,0.07,0.13,0.22,0.32,0.45,1
471,4,0.07,0.11,0.19,0.31,0.38,1
472,3,0.08,0.15,0.25,0.36,0.51,1
473,4,0.05,0.06,0.12,0.27,0.37,1
474,3,0.1,0.17,0.27,0.35,0.55,1
475,2,0.18,0.33,0.42,0.52,0.59,1
476,3,0.1,0.17,0.28,0.39,0.5,1
477,1,0.32,0.43,0.52,0.66,0.74,1
478,3,0.12,0.2,0.33,0.4,0.53,1
479,4,0.08,0.11,0.19,0.32,0.46,1
480,2,0.2,0.28,0.43,0.62,0.73,1
481,5,0.04,0.07,0.12,0.2,0.31,1
482,4,0.07,0.13,0.19,0.25,0.36,1
483,1,0.33,0.5,0.58,0.71,0.79,1
484,5,0.05,0.07,0.15,0.22,0.26,1
485,3,0.14,0.17,0.28,0.39,0.49,1
486,3,0.14,0.25,0.31,0.36,0.44,1
487,1,0.34,0.45,0.54,0.67,0.8,1
488,4,0.13,0.15,0.23,0.33,0.38,1
489,2,0.23,0.32,0.47,0.57,0.67,1
490,3,0.11,0.23,0.34,0.5,0.61,1
491,2,0.22,0.27,0.38,0.43,0.45,1
492,1,0.31,0.46,0.55,0.68,0.73,1
493,4,0.14,0.18,0.23,0.3,0.42,1
494,4,0.07,0.1,0.15,0.27,0.37,1
495,3,0.11,0.23,0.33,0.41,0.5,1
496,3,0.14,0.22,0.33,0.48,0.56,1
497,4,0.04,0.06,0.16,0.26,0.34,1
498,2,0.19,0.32,0.44,0.57,0.61,1
499,3,0.14,0.25,0.34,0.45,0.64,1
500,3,0.13,0.18,0.27,0.36,0.41,1
501,3,0.13,0.24,0.35,0.49,0.56,1
502,4,0.07,0.12,0.21,0.26,0.36,1
503,5,0.03,0.06,0.08,0.23,0.31,1
504,3,0.08,0.17,0.28,0.43,0.55,1
505,3,0.11,0.19,0.3,0.43,0.57,1
506,5,0.06,0.13,0.16,0.21,0.27,1
507,5,0.05,0.07,0.1,0.19,0.28,1
508,3,0.12,0.2,0.26,0.39,0.46,1
509,1,0.29,0.4,0.52,0.65,0.72,1
510,2,0.22,0.35,0.55,0.6,0.68,1
511,5,0.07,0.1,0.16,0.2,0.31,1
512,3,0.09,0.14,0.29,0.35,0.55,1
513,5,0.06,0.08,0.15,0.2,0.31,1
514,1,0.28,0.4,0.54,0.67,0.71,1
515,1,0.32,0.49,0.54,0.64,0.76,1
516,5,0.04,0.06,0.08,0.14,0.26,1
517,2,0.23,0.29,0.4,0.55,0.67,1
518,4,0.05,0.09,0.15,0.32,0.41,1
519,3,0.19,0.24,0.29,0.34,0.48,1
520,3,0.17,0.24,0.33,0.42,0.53,1
521,2,0.18,0.3,0.45,0.56,0.69,3
522,5,0.04,0.1,0.15,0.22,0.31,1
523,2,0.2,0.27,0.37,0.51,0.59,2
524,3,0.13,0.19,0.32,0.35,0.43,1
525,5,0.05,0.07,0.11,0.19,0.29,1
526,2,0.2,0.27,0.41,0.53,0.64,1
527,5,0.04,0.07,0.14,0.24,0.28,1
528,2,0.21,0.32,0.36,0.44,0.48,2
529,4,0.07,0.13,0.21,0.32,0.44,1
530,5,0.05,0.07,0.16,0.25,0.34,2
531,4,0.09,0.13,0.17,0.32,0.44,1
532,3,0.15,0.22,0.3,0.41,0.53,1
533,2,0.16,0.27,0.36,0.51,0.58,2
534,5,0.05,0.09,0.15,0.22,0.34,1
535,2,0.22,0.34,0.47,0.56,0.7,1
