"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
39,3,0.19,0.25,0.28,0.35,0.4,1
40,4,0.19,0.2,0.27,0.32,0.39,2
41,2,0.25,0.29,0.37,0.41,0.46,2
42,3,0.2,0.25,0.32,0.4,0.44,1
43,1,0.3,0.35,0.41,0.44,0.52,1
44,2,0.26,0.3,0.33,0.36,0.39,2
45,2,0.28,0.31,0.37,0.42,0.47,1
46,2,0.26,0.31,0.34,0.39,0.45,1
47,1,0.32,0.39,0.45,0.5,0.53,1
48,1,0.31,0.38,0.4,0.45,0.47,1
49,3,0.2,0.25,0.31,0.34,0.4,1
50,2,0.28,0.31,0.37,0.42,0.48,1
51,5,0.12,0.15,0.18,0.24,0.29,2
52,2,0.27,0.3,0.36,0.45,0.52,1
53,2,0.25,0.3,0.33,0.4,0.46,1
54,3,0.18,0.23,0.28,0.35,0.43,1
55,4,0.19,0.22,0.25,0.3,0.36,1
56,3,0.18,0.22,0.29,0.34,0.37,1
57,5,0.14,0.16,0.2,0.24,0.28,4
58,4,0.17,0.19,0.23,0.29,0.35,1
59,1,0.29,0.34,0.37,0.4,0.49,1
60,5,0.15,0.18,0.22,0.24,0.28,1
61,5,0.12,0.14,0.18,0.23,0.29,1
62,3,0.18,0.22,0.28,0.33,0.39,1
63,5,0.16,0.19,0.22,0.28,0.31,4
64,3,0.2,0.26,0.32,0.37,0.42,1
65,1,0.32,0.39,0.43,0.5,0.55,1
66,5,0.12,0.13,0.17,0.21,0.3,1
67,2,0.22,0.28,0.32,0.37,0.43,1
68,3,0.18,0.22,0.28,0.36,0.39,1
69,3,0.19,0.23,0.28,0.32,0.38,1
70,1,0.28,0.34,0.38,0.45,0.48,1
71,2,0.24,0.29,0.36,0.41,0.47,2
72,4,0.2,0.21,0.27,0.32,0.41,2
73,5,0.15,0.17,0.19,0.27,0.32,1
74,5,0.14,0.19,0.22,0.25,0.31,1
75,4,0.17,0.2,0.25,0.29,0.33,1
76,4,0.16,0.18,0.22,0.31,0.37,1
77,2,0.24,0.32,0.37,0.4,0.44,2
78,2,0.25,0.32,0.36,0.43,0.49,1
79,2,0.23,0.29,0.35,0.4,0.43,1
80,5,0.15,0.18,0.2,0.25,0.28,1
81,5,0.12,0.17,0.2,0.25,0.28,1
82,2,0.25,0.29,0.35,0.37,0.45,2
83,5,0.11,0.13,0.17,0.22,0.29,1
84,2,0.27,0.3,0.35,0.41,0.46,1
85,3,0.21,0.25,0.29,0.37,0.43,1
86,2,0.24,0.29,0.34,0.4,0.47,1
87,4,0.19,0.25,0.28,0.31,0.38,1
88,1,0.28,0.33,0.35,0.38,0.43,1
89,3,0.22,0.25,0.29,0.36,0.42,1
90,5,0.12,0.15,0.17,0.21,0.29,1
91,3,0.18,0.21,0.29,0.35,0.42,1
92,1,0.28,0.32,0.38,0.44,0.48,1
93,3,0.21,0.24,0.29,0.35,0.41,2
94,4,0.15,0.19,0.24,0.28,0.34,1
95,2,0.27,0.32,0.39,0.46,0.52,1
96,1,0.3,0.35,0.43,0.48,0.5,1
97,5,0.17,0.19,0.21,0.23,0.28,1
98,5,0.13,0.17,0.19,0.24,0.3,1
99,1,0.29,0.33,0.39,0.47,0.53,1
100,5,0.16,0.2,0.24,0.27,0.31,1
101,4,0.17,0.21,0.26,0.31,0.38,1
102,1,0.31,0.39,0.44,0.49,0.56,1
103,2,0.27,0.31,0.34,0.42,0.48,1
104,2,0.23,0.29,0.31,0.35,0.39,1
105,4,0.2,0.23,0.26,0.31,0.39,2
106,1,0.31,0.36,0.42,0.48,0.54,1
107,3,0.21,0.25,0.29,0.34,0.39,1
108,3,0.18,0.24,0.28,0.32,0.37,1
109,4,0.15,0.18,0.24,0.28,0.32,1
110,4,0.19,0.21,0.24,0.3,0.36,1
111,2,0.26,0.28,0.32,0.4,0.45,1
112,2,0.26,0.32,0.35,0.42,0.46,1
113,2,0.25,0.29,0.35,0.41,0.48,1
114,3,0.18,0.26,0.31,0.35,0.42,1
115,2,0.24,0.29,0.34,0.4,0.46,2
116,4,0.18,0.22,0.28,0.3,0.36,1
117,5,0.12,0.17,0.2,0.26,0.3,1
118,1,0.3,0.37,0.42,0.47,0.53,1
119,1,0.32,0.34,0.41,0.45,0.49,1
120,5,0.12,0.16,0.2,0.27,0.31,1
121,4,0.13,0.19,0.25,0.29,0.32,2
122,3,0.23,0.28,0.31,0.36,0.41,2
123,5,0.14,0.17,0.19,0.25,0.32,1
124,2,0.27,0.3,0.33,0.39,0.42,1
125,2,0.26,0.29,0.34,0.37,0.42,1
126,1,0.28,0.33,0.39,0.47,0.52,1
127,4,0.15,0.18,0.22,0.29,0.35,1
128,2,0.25,0.29,0.31,0.36,0.43,1
129,3,0.18,0.24,0.31,0.36,0.42,2
130,5,0.17,0.18,0.22,0.26,0.3,1
131,3,0.21,0.24,0.32,0.38,0.44,1
132,3,0.17,0.22,0.29,0.33,0.39,1
133,4,0.15,0.19,0.23,0.28,0.34,1
134,5,0.18,0.22,0.25,0.28,0.3,1
135,1,0.31,0.35,0.4,0.45,0.49,1
136,4,0.15,0.2,0.25,0.28,0.32,1
137,5,0.13,0.17,0.19,0.25,0.31,1
138,2,0.27,0.32,0.39,0.41,0.47,1
139,3,0.2,0.26,0.31,0.37,0.41,2
140,1,0.31,0.34,0.38,0.42,0.48,1
141,1,0.29,0.35,0.37,0.42,0.47,1
142,5,0.1,0.13,0.16,0.22,0.29,1
143,1,0.31,0.33,0.36,0.44,0.52,1
144,5,0.17,0.2,0.23,0.27,0.31,1
145,1,0.28,0.33,0.4,0.44,0.5,1
146,1,0.31,0.38,0.46,0.51,0.56,1
147,2,0.21,0.29,0.32,0.39,0.41,2
148,4,0.17,0.22,0.26,0.32,0.35,1
149,4,0.2,0.23,0.26,0.29,0.33,1
150,2,0.21,0.28,0.33,0.36,0.42,1
151,3,0.18,0.23,0.3,0.33,0.39,1
152,1,0.28,0.33,0.37,0.41,0.48,1
153,4,0.12,0.16,0.2,0.28,0.36,1
154,3,0.19,0.22,0.28,0.33,0.37,1
155,3,0.21,0.26,0.32,0.37,0.39,1
156,5,0.13,0.17,0.2,0.25,0.3,1
157,3,0.2,0.25,0.28,0.33,0.37,1
158,1,0.31,0.36,0.38,0.45,0.54,1
159,4,0.16,0.19,0.25,0.29,0.32,1
160,5,0.13,0.18,0.24,0.28,0.31,1
161,4,0.18,0.21,0.28,0.3,0.32,1
162,1,0.31,0.38,0.44,0.51,0.56,1
163,2,0.24,0.3,0.36,0.42,0.47,1
164,5,0.11,0.15,0.19,0.25,0.29,1
165,1,0.31,0.39,0.45,0.53,0.58,1
166,3,0.22,0.27,0.32,0.36,0.46,1
167,4,0.11,0.15,0.2,0.3,0.32,1
168,2,0.23,0.3,0.32,0.39,0.44,1
169,1,0.3,0.36,0.4,0.51,0.54,1
170,3,0.24,0.27,0.32,0.37,0.43,1
171,1,0.3,0.37,0.42,0.45,0.49,1
172,2,0.25,0.32,0.37,0.43,0.52,2
173,5,0.14,0.17,0.2,0.26,0.29,1
174,2,0.24,0.3,0.37,0.43,0.51,1
175,1,0.32,0.38,0.43,0.51,0.53,1
176,1,0.32,0.4,0.44,0.49,0.54,2
177,3,0.19,0.23,0.3,0.34,0.42,1
178,1,0.31,0.35,0.39,0.43,0.48,1
179,3,0.24,0.27,0.31,0.37,0.43,1
180,3,0.2,0.25,0.31,0.36,0.42,1
181,3,0.17,0.21,0.28,0.35,0.39,1
182,3,0.2,0.24,0.29,0.34,0.36,1
183,2,0.22,0.28,0.32,0.33,0.37,1
184,1,0.32,0.36,0.42,0.46,0.55,1
185,1,0.3,0.35,0.39,0.48,0.53,1
186,3,0.19,0.25,0.29,0.33,0.37,1
187,3,0.2,0.25,0.29,0.34,0.41,1
188,2,0.27,0.32,0.38,0.47,0.5,1
189,4,0.14,0.18,0.24,0.28,0.33,1
190,4,0.18,0.23,0.26,0.32,0.37,1
191,5,0.15,0.2,0.23,0.27,0.31,1
192,2,0.26,0.32,0.35,0.4,0.43,1
193,4,0.2,0.23,0.26,0.3,0.38,1
194,2,0.26,0.31,0.37,0.44,0.47,1
195,3,0.23,0.27,0.32,0.34,0.41,1
196,4,0.13,0.18,0.26,0.28,0.32,2
197,4,0.17,0.2,0.23,0.29,0.34,1
198,2,0.23,0.28,0.32,0.41,0.45,2
199,5,0.13,0.14,0.18,0.21,0.3,1
200,3,0.19,0.26,0.32,0.39,0.46,1
201,2,0.21,0.28,0.34,0.41,0.47,2
202,5,0.13,0.16,0.19,0.23,0.28,1
203,4,0.15,0.21,0.25,0.31,0.36,1
204,4,0.17,0.2,0.24,0.31,0.37,1
205,5,0.14,0.18,0.21,0.27,0.31,1
206,5,0.12,0.16,0.18,0.25,0.28,1
207,3,0.24,0.27,0.31,0.38,0.42,1
208,3,0.18,0.23,0.28,0.33,0.39,2
209,5,0.13,0.14,0.19,0.25,0.28,1
210,4,0.17,0.23,0.27,0.32,0.41,1
211,1,0.28,0.35,0.4,0.44,0.51,1
212,3,0.2,0.23,0.28,0.33,0.38,1
213,4,0.18,0.22,0.26,0.3,0.34,1
214,1,0.29,0.35,0.41,0.46,0.52,1
215,1,0.29,0.36,0.39,0.47,0.54,1
216,2,0.24,0.31,0.34,0.4,0.46,1
217,4,0.16,0.2,0.25,0.28,0.34,1
218,1,0.3,0.36,0.44,0.5,0.59,1
219,3,0.24,0.26,0.32,0.35,0.45,1
220,2,0.25,0.3,0.35,0.4,0.41,1
221,3,0.2,0.23,0.3,0.35,0.4,1
222,3,0.21,0.23,0.31,0.36,0.43,1
223,1,0.28,0.33,0.38,0.45,0.5,1
224,1,0.32,0.39,0.46,0.52,0.58,1
225,1,0.29,0.34,0.36,0.41,0.44,1
226,2,0.22,0.28,0.34,0.41,0.5,1
227,4,0.17,0.21,0.24,0.3,0.38,1
228,5,0.14,0.17,0.22,0.25,0.29,2
229,1,0.3,0.35,0.4,0.42,0.48,1
230,4,0.18,0.2,0.23,0.3,0.35,1
231,5,0.12,0.14,0.18,0.25,0.31,1
232,1,0.31,0.35,0.38,0.43,0.51,1
233,3,0.19,0.25,0.29,0.35,0.44,1
234,3,0.2,0.23,0.28,0.33,0.37,2
235,3,0.21,0.24,0.29,0.31,0.34,2
236,3,0.19,0.24,0.28,0.32,0.37,1
237,2,0.25,0.3,0.34,0.39,0.46,2
238,4,0.15,0.18,0.23,0.31,0.35,2
239,1,0.29,0.37,0.41,0.51,0.6,2
240,5,0.13,0.18,0.22,0.27,0.31,1
241,3,0.2,0.26,0.32,0.36,0.43,1
242,1,0.3,0.35,0.39,0.42,0.46,1
243,1,0.29,0.33,0.35,0.43,0.46,1
244,1,0.29,0.34,0.38,0.44,0.49,1
245,3,0.17,0.22,0.29,0.34,0.38,1
246,1,0.28,0.34,0.4,0.46,0.51,1
247,1,0.3,0.36,0.44,0.48,0.54,1
248,1,0.3,0.35,0.41,0.45,0.5,1
249,4,0.17,0.21,0.27,0.29,0.34,1
250,1,0.31,0.33,0.4,0.47,0.52,1
251,3,0.21,0.27,0.31,0.35,0.42,1
252,5,0.14,0.17,0.22,0.26,0.32,1
253,5,0.16,0.18,0.23,0.26,0.32,1
254,2,0.26,0.28,0.32,0.36,0.42,1
255,2,0.25,0.29,0.34,0.39,0.42,1
256,5,0.12,0.15,0.19,0.24,0.31,1
257,5,0.17,0.19,0.21,0.27,0.31,3
258,2,0.27,0.31,0.36,0.43,0.47,1
259,5,0.16,0.19,0.21,0.24,0.28,1
260,4,0.18,0.22,0.25,0.31,0.37,1
261,1,0.29,0.35,0.4,0.46,0.53,1
262,3,0.18,0.23,0.28,0.34,0.38,1
263,1,0.3,0.35,0.42,0.47,0.53,1
264,5,0.13,0.18,0.22,0.25,0.32,1
265,5,0.17,0.19,0.24,0.27,0.29,1
266,5,0.18,0.2,0.21,0.23,0.31,1
267,1,0.32,0.38,0.42,0.48,0.55,1
268,3,0.2,0.24,0.29,0.34,0.38,2
269,2,0.26,0.3,0.33,0.4,0.46,1
270,1,0.31,0.36,0.43,0.52,0.59,1
271,4,0.14,0.17,0.23,0.28,0.32,1
272,5,0.14,0.17,0.19,0.22,0.28,1
273,5,0.11,0.13,0.19,0.24,0.3,1
274,1,0.3,0.34,0.42,0.49,0.55,1
275,3,0.22,0.28,0.3,0.37,0.43,1
276,5,0.13,0.16,0.2,0.24,0.3,2
277,2,0.24,0.28,0.34,0.4,0.42,1
278,5,0.14,0.16,0.19,0.22,0.29,1
279,4,0.16,0.19,0.23,0.28,0.34,1
280,1,0.29,0.31,0.36,0.43,0.49,1
281,4,0.16,0.21,0.25,0.31,0.33,1
282,2,0.25,0.28,0.33,0.36,0.43,1
283,2,0.25,0.29,0.34,0.42,0.5,1
284,2,0.26,0.32,0.36,0.41,0.49,1
285,4,0.14,0.15,0.21,0.28,0.33,1
286,1,0.28,0.34,0.4,0.45,0.5,1
287,1,0.29,0.35,0.37,0.45,0.49,1
288,5,0.16,0.18,0.22,0.26,0.32,1
289,5,0.15,0.19,0.23,0.24,0.29,3
290,4,0.18,0.19,0.23,0.28,0.33,1
291,2,0.24,0.31,0.39,0.48,0.56,1
292,2,0.23,0.28,0.32,0.38,0.42,1
293,3,0.21,0.24,0.28,0.34,0.38,1
294,4,0.17,0.2,0.23,0.29,0.33,1
295,1,0.31,0.38,0.42,0.5,0.53,1
296,5,0.12,0.15,0.19,0.23,0.28,1
297,5,0.15,0.17,0.19,0.25,0.31,2
298,4,0.21,0.24,0.28,0.31,0.38,1
299,5,0.14,0.18,0.23,0.28,0.31,1
300,3,0.22,0.25,0.28,0.33,0.39,1
301,2,0.27,0.31,0.38,0.46,0.54,1
302,1,0.3,0.33,0.39,0.45,0.51,1
303,5,0.14,0.17,0.19,0.23,0.28,1
304,1,0.29,0.33,0.42,0.47,0.55,1
305,1,0.3,0.33,0.36,0.4,0.48,1
306,2,0.25,0.3,0.35,0.37,0.42,1
307,3,0.23,0.27,0.31,0.39,0.46,1
308,2,0.24,0.28,0.32,0.38,0.44,1
309,3,0.21,0.27,0.3,0.35,0.38,3
310,5,0.14,0.17,0.2,0.26,0.32,1
311,5,0.14,0.18,0.19,0.25,0.3,1
312,5,0.14,0.2,0.23,0.27,0.31,1
313,1,0.3,0.35,0.42,0.49,0.51,1
314,4,0.15,0.18,0.23,0.28,0.35,1
315,4,0.17,0.22,0.26,0.3,0.35,1
316,2,0.26,0.28,0.34,0.39,0.46,1
317,4,0.19,0.23,0.28,0.31,0.32,1
318,4,0.15,0.22,0.26,0.3,0.34,1
319,3,0.21,0.27,0.32,0.36,0.41,1
320,4,0.13,0.17,0.23,0.29,0.35,1
321,5,0.15,0.19,0.24,0.27,0.3,1
322,2,0.26,0.3,0.35,0.38,0.44,2
323,3,0.2,0.23,0.29,0.32,0.34,1
324,1,0.3,0.33,0.36,0.42,0.49,1
325,2,0.23,0.29,0.32,0.37,0.43,1
326,5,0.14,0.17,0.24,0.27,0.32,1
327,3,0.2,0.23,0.32,0.38,0.44,1
328,5,0.12,0.15,0.18,0.22,0.29,1
329,2,0.24,0.31,0.34,0.38,0.42,1
330,1,0.28,0.35,0.38,0.42,0.47,1
331,5,0.15,0.18,0.23,0.26,0.3,1
332,1,0.29,0.35,0.43,0.51,0.52,1
333,3,0.2,0.24,0.28,0.34,0.39,1
334,2,0.25,0.3,0.37,0.43,0.49,1
335,2,0.21,0.28,0.36,0.39,0.46,1
336,1,0.3,0.35,0.41,0.48,0.53,1
337,4,0.17,0.23,0.24,0.3,0.35,1
338,4,0.18,0.21,0.27,0.32,0.35,2
339,5,0.15,0.18,0.2,0.24,0.31,1
340,2,0.27,0.32,0.38,0.44,0.5,2
341,1,0.32,0.41,0.47,0.52,0.58,2
342,4,0.15,0.19,0.26,0.32,0.36,1
343,3,0.18,0.21,0.29,0.34,0.4,1
344,2,0.25,0.31,0.35,0.39,0.47,1
345,3,0.16,0.23,0.28,0.34,0.36,1
346,5,0.15,0.18,0.2,0.27,0.29,1
347,1,0.3,0.36,0.41,0.46,0.52,1
348,3,0.2,0.24,0.31,0.38,0.41,1
349,4,0.19,0.22,0.28,0.31,0.38,1
350,1,0.3,0.36,0.42,0.5,0.57,1
351,2,0.27,0.32,0.36,0.41,0.49,1
352,3,0.2,0.25,0.3,0.34,0.36,1
353,1,0.31,0.38,0.41,0.48,0.54,1
354,2,0.23,0.3,0.32,0.39,0.47,2
355,2,0.23,0.3,0.36,0.4,0.44,1
356,4,0.19,0.21,0.26,0.32,0.37,1
357,2,0.26,0.28,0.34,0.38,0.45,1
358,2,0.26,0.31,0.35,0.39,0.45,1
359,1,0.28,0.35,0.37,0.43,0.48,1
360,1,0.28,0.34,0.42,0.47,0.51,1
361,2,0.23,0.29,0.34,0.4,0.44,1
362,4,0.13,0.18,0.25,0.29,0.34,1
363,2,0.27,0.32,0.38,0.42,0.49,1
364,2,0.25,0.32,0.39,0.45,0.51,1
365,2,0.28,0.31,0.37,0.41,0.47,1
366,3,0.19,0.25,0.31,0.35,0.41,1
367,1,0.32,0.36,0.38,0.41,0.48,1
368,2,0.28,0.31,0.34,0.4,0.45,1
369,3,0.18,0.23,0.28,0.37,0.46,1
370,5,0.17,0.2,0.24,0.26,0.31,1
371,2,0.24,0.29,0.31,0.34,0.41,1
372,4,0.17,0.21,0.27,0.31,0.33,1
373,1,0.28,0.35,0.37,0.43,0.5,1
374,4,0.15,0.19,0.25,0.31,0.32,1
375,2,0.26,0.3,0.35,0.39,0.46,1
376,5,0.14,0.17,0.21,0.25,0.31,1
377,5,0.12,0.15,0.17,0.23,0.29,1
378,4,0.12,0.15,0.2,0.28,0.34,1
379,2,0.27,0.29,0.34,0.39,0.41,2
380,1,0.29,0.33,0.39,0.45,0.49,3
381,1,0.3,0.34,0.37,0.43,0.49,1
382,2,0.24,0.29,0.31,0.37,0.44,1
383,2,0.25,0.32,0.37,0.41,0.47,1
384,1,0.28,0.33,0.36,0.4,0.46,1
385,2,0.24,0.3,0.33,0.43,0.47,2
386,3,0.17,0.22,0.29,0.33,0.38,1
387,1,0.31,0.37,0.44,0.49,0.56,1
388,4,0.16,0.19,0.24,0.32,0.38,1
389,2,0.23,0.29,0.35,0.42,0.49,1
390,5,0.15,0.17,0.21,0.24,0.28,1
391,3,0.19,0.24,0.29,0.31,0.34,1
392,1,0.28,0.32,0.35,0.44,0.48,1
393,5,0.13,0.15,0.21,0.27,0.32,1
394,1,0.3,0.35,0.39,0.47,0.53,1
395,1,0.3,0.34,0.43,0.44,0.5,1
396,2,0.2,0.28,0.33,0.42,0.46,1
397,5,0.14,0.17,0.21,0.28,0.3,1
398,2,0.26,0.32,0.38,0.4,0.45,1
399,3,0.22,0.26,0.29,0.37,0.44,1
400,5,0.1,0.14,0.19,0.25,0.29,1
401,1,0.29,0.32,0.38,0.45,0.49,1
402,5,0.11,0.14,0.19,0.23,0.29,1
403,4,0.21,0.23,0.26,0.3,0.34,1
404,1,0.3,0.38,0.43,0.48,0.55,1
405,5,0.13,0.16,0.21,0.26,0.32,1
406,1,0.32,0.37,0.4,0.48,0.51,1
407,4,0.19,0.23,0.25,0.32,0.38,1
408,2,0.27,0.31,0.35,0.39,0.43,1
409,5,0.12,0.15,0.19,0.24,0.32,1
410,3,0.17,0.25,0.29,0.34,0.4,1
411,3,0.19,0.26,0.3,0.32,0.36,1
412,5,0.14,0.17,0.23,0.25,0.28,2
413,1,0.32,0.38,0.47,0.53,0.61,1
414,2,0.23,0.3,0.33,0.39,0.44,2
415,1,0.3,0.33,0.4,0.44,0.49,1
416,1,0.28,0.36,0.39,0.46,0.52,1
417,3,0.23,0.27,0.28,0.33,0.38,1
418,4,0.19,0.21,0.27,0.32,0.38,1
419,2,0.23,0.31,0.36,0.42,0.48,1
420,5,0.14,0.16,0.18,0.22,0.28,1
421,1,0.29,0.37,0.41,0.46,0.53,1
422,2,0.23,0.28,0.35,0.43,0.49,1
423,1,0.29,0.34,0.38,0.46,0.53,1
424,2,0.22,0.28,0.36,0.44,0.47,1
425,3,0.17,0.23,0.29,0.32,0.39,1
426,2,0.25,0.3,0.33,0.34,0.4,1
427,4,0.14,0.2,0.25,0.29,0.36,1
428,2,0.26,0.32,0.4,0.48,0.52,1
429,1,0.31,0.36,0.45,0.5,0.6,1
430,2,0.27,0.31,0.35,0.41,0.44,1
431,2,0.26,0.32,0.38,0.41,0.49,2
432,1,0.29,0.35,0.4,0.46,0.54,1
433,5,0.13,0.16,0.22,0.25,0.32,1
434,4,0.14,0.17,0.21,0.28,0.33,1
435,3,0.16,0.22,0.28,0.35,0.4,1
436,4,0.2,0.23,0.26,0.3,0.37,2
437,3,0.16,0.21,0.28,0.33,0.38,1
438,5,0.15,0.16,0.21,0.26,0.28,1
439,4,0.15,0.19,0.26,0.29,0.33,1
440,1,0.29,0.35,0.42,0.49,0.56,1
441,1,0.28,0.33,0.37,0.45,0.48,1
442,2,0.24,0.29,0.35,0.37,0.39,1
443,3,0.21,0.25,0.31,0.37,0.43,1
444,1,0.31,0.36,0.43,0.52,0.6,1
445,5,0.16,0.22,0.23,0.28,0.29,3
446,1,0.31,0.39,0.48,0.55,0.56,1
447,2,0.25,0.3,0.34,0.41,0.47,1
448,1,0.32,0.39,0.42,0.45,0.49,1
449,2,0.27,0.31,0.35,0.41,0.45,1
450,3,0.17,0.2,0.28,0.34,0.38,2
451,2,0.22,0.31,0.36,0.42,0.51,1
452,2,0.24,0.3,0.36,0.44,0.49,1
453,4,0.17,0.2,0.26,0.29,0.32,1
454,4,0.18,0.2,0.25,0.3,0.35,2
455,4,0.18,0.21,0.24,0.28,0.33,1
456,3,0.21,0.24,0.3,0.34,0.39,2
457,2,0.26,0.3,0.34,0.37,0.43,1
458,4,0.2,0.22,0.27,0.3,0.36,1
459,4,0.17,0.21,0.26,0.3,0.35,1
460,3,0.2,0.26,0.3,0.34,0.39,2
461,2,0.27,0.31,0.38,0.44,0.48,1
462,1,0.3,0.36,0.4,0.45,0.52,1
463,5,0.14,0.17,0.22,0.26,0.32,1
464,4,0.17,0.19,0.24,0.31,0.39,1
465,4,0.12,0.14,0.21,0.28,0.35,1
466,4,0.18,0.23,0.26,0.32,0.39,1
467,3,0.18,0.21,0.28,0.33,0.37,1
468,2,0.25,0.31,0.36,0.43,0.49,1
469,3,0.2,0.26,0.29,0.34,0.39,1
470,3,0.18,0.21,0.28,0.34,0.38,2
471,3,0.24,0.27,0.32,0.41,0.43,1
472,2,0.23,0.3,0.35,0.37,0.44,1
473,4,0.16,0.21,0.27,0.32,0.4,1
474,1,0.32,0.37,0.41,0.44,0.49,1
475,4,0.19,0.23,0.27,0.31,0.37,2
476,1,0.31,0.35,0.41,0.48,0.57,1
477,3,0.22,0.28,0.31,0.35,0.39,1
478,4,0.14,0.17,0.23,0.28,0.34,1
479,4,0.18,0.23,0.27,0.32,0.36,4
480,1,0.31,0.34,0.39,0.44,0.51,1
481,1,0.31,0.36,0.41,0.44,0.48,1
482,2,0.28,0.31,0.37,0.42,0.47,1
483,2,0.24,0.29,0.33,0.39,0.44,1
484,1,0.28,0.36,0.44,0.5,0.57,1
485,2,0.24,0.3,0.4,0.46,0.5,4
486,5,0.11,0.15,0.18,0.22,0.28,1
487,2,0.25,0.3,0.37,0.42,0.5,1
488,2,0.23,0.29,0.35,0.43,0.48,1
489,3,0.19,0.24,0.29,0.37,0.42,1
490,5,0.13,0.16,0.19,0.25,0.3,2
491,4,0.18,0.2,0.26,0.31,0.35,1
492,3,0.19,0.24,0.28,0.33,0.42,1
493,4,0.21,0.23,0.26,0.29,0.35,1
494,2,0.27,0.31,0.38,0.44,0.47,1
495,5,0.17,0.2,0.25,0.27,0.31,1
496,4,0.17,0.21,0.26,0.32,0.33,1
497,1,0.31,0.37,0.42,0.5,0.57,1
498,5,0.15,0.19,0.23,0.26,0.32,1
499,3,0.23,0.28,0.31,0.38,0.43,1
500,1,0.28,0.37,0.43,0.5,0.56,1
501,1,0.31,0.38,0.42,0.47,0.5,1
502,5,0.12,0.15,0.2,0.27,0.32,2
503,2,0.24,0.29,0.35,0.41,0.44,1
504,5,0.13,0.17,0.21,0.22,0.28,1
505,1,0.29,0.34,0.37,0.44,0.48,1
506,3,0.21,0.26,0.32,0.34,0.38,1
507,1,0.3,0.33,0.36,0.42,0.48,1
508,1,0.3,0.35,0.42,0.47,0.53,1
509,1,0.29,0.35,0.42,0.5,0.57,1
510,3,0.21,0.23,0.28,0.34,0.38,1
511,3,0.25,0.28,0.3,0.34,0.38,1
512,1,0.32,0.35,0.39,0.42,0.48,1
513,2,0.28,0.31,0.35,0.41,0.45,1
514,5,0.12,0.14,0.19,0.23,0.28,2
515,4,0.15,0.18,0.24,0.32,0.4,1
516,4,0.15,0.18,0.22,0.29,0.33,1
517,4,0.2,0.23,0.26,0.32,0.4,1
518,2,0.27,0.29,0.33,0.4,0.48,1
519,3,0.24,0.27,0.32,0.35,0.36,1
520,3,0.21,0.25,0.29,0.37,0.44,1
521,3,0.23,0.25,0.29,0.33,0.37,1
522,5,0.14,0.16,0.19,0.24,0.3,2
523,5,0.15,0.18,0.21,0.27,0.32,1
524,2,0.24,0.28,0.34,0.39,0.44,1
525,1,0.29,0.33,0.36,0.45,0.49,1
526,2,0.25,0.3,0.35,0.4,0.46,1
527,1,0.3,0.34,0.4,0.44,0.51,1
528,5,0.12,0.15,0.23,0.24,0.29,1
529,2,0.21,0.28,0.37,0.42,0.48,1
530,1,0.32,0.4,0.5,0.52,0.58,1
531,5,0.12,0.15,0.18,0.25,0.29,1
532,1,0.3,0.39,0.46,0.54,0.64,1
533,4,0.17,0.19,0.27,0.3,0.35,1
534,5,0.14,0.16,0.21,0.27,0.31,1
535,3,0.21,0.26,0.29,0.35,0.4,1
